id,Date,text,Polarity,SentimentScore,Sentiment
id,created_at,text,0.0,3,Neutral
936015425414029313,2017-11-29 23:34:02,"b""@DavidLC11 Hello David! There were no announcement yet regarding this concern. But once we have, we'll make sure to\xe2\x80\xa6 https://t.co/bIut7x7ofW""",0.5,5,Very Positive
935918930463469568,2017-11-29 17:10:36,"b""@BitburgDan Hi @BitburgDan. We're sorry to hear that you're having trouble with the TiVo Online. Can you tell us mo\xe2\x80\xa6 https://t.co/CZcwXneLHr""",-0.35,2,Negative
935690650464464897,2017-11-29 02:03:30,b'@DotComCTO Please try again to setup your TiVo box after 24 hours and make sure it is connected to the internet alw\xe2\x80\xa6 https://t.co/Wu60Uu0tyL',0.5,5,Very Positive
935690496772640768,2017-11-29 02:02:53,"b'@DotComCTO Hi @DotComCTO. We appreciate you for being our longtime customer in TiVo. However, we sincerely apologiz\xe2\x80\xa6 https://t.co/xens1g0MtX'",0.5,5,Very Positive
935563067211091973,2017-11-28 17:36:31,b'@eltonsaul 3.Force a connection to the TiVo service (Settings &amp; Messages &gt; Network Settings &gt; TiVo Service Connecti\xe2\x80\xa6 https://t.co/inbOPivZkx',0.0,3,Neutral
935562863598538752,2017-11-28 17:35:43,"b'@eltonsaul Hi @eltonsaul. We apologize for the inconvenience. However, you might want to do the following troublesh\xe2\x80\xa6 https://t.co/e05mjp6E3D'",0.0,3,Neutral
935279433069494273,2017-11-27 22:49:28,"b""@JohnFruehe Yes, that's right.""",0.2857142857142857,4,Positive
935253805389795328,2017-11-27 21:07:38,"b""@JohnFruehe Hi @JohnFruehe. They don't. It is only allowed if you have a host TiVo BOLT VOX and a TiVo Mini VOX.""",0.0,3,Neutral
935222770283286529,2017-11-27 19:04:18,"b""@SpursEnergy Hi @SpursEnergy. We're sorry to hear that you're having hard time accessing your channels on your TiVo\xe2\x80\xa6 https://t.co/mD5s1zPQNs""",-0.39583333333333337,2,Negative
935212399258472453,2017-11-27 18:23:06,"b'@migue333 Hello Miguel! Thanks for your inquiry. In purchasing a TiVo Bridge, the package includes the Tivo Bridge,\xe2\x80\xa6 https://t.co/rXwvILHjkL'",0.2,3,Neutral
934930602910015493,2017-11-26 23:43:20,"b'@timkessler1221 Hi @timkessler1221. We apologize for the trouble. To keep your TiVo guide from talking to you, you\xe2\x80\xa6 https://t.co/KU0XB8WCWF'",-0.2,2,Negative
934893604299997184,2017-11-26 21:16:19,"b'@hanlich I see. But, you might want to uninstall the app on your device. Power cycle the router or modem. Once the\xe2\x80\xa6 https://t.co/JzrgOQIooC'",0.0,3,Neutral
934891621384114177,2017-11-26 21:08:26,"b'@JayTruce We appreciate the information. To proceed,  please select Conditional Access. Then, provide us the next information on the screen.'",0.0,3,Neutral
934879760110575616,2017-11-26 20:21:18,"b""@JayTruce I see. For now, we'll make sure that the CableCARD is properly activated with your TiVo BOLT+. Can you na\xe2\x80\xa6 https://t.co/O5gFpHCcNp""",0.25,4,Positive
934867585912524800,2017-11-26 19:32:56,b'@JayTruce I see. Are you using antenna or cable?',0.0,3,Neutral
934819183719866368,2017-11-26 16:20:36,"b""@hanlich Hi @hanlich. We're sorry for the trouble. Can you tell us more about the issue? Is there an error message or error code?""",-0.06666666666666665,2,Negative
934814909640138753,2017-11-26 16:03:37,"b""@JayTruce Hi @JayTruce. We're sorry to hear that you're having trouble with your TiVo. Can you tell us more about t\xe2\x80\xa6 https://t.co/f03frNg9qB""",-0.06666666666666665,2,Negative
934512196406702080,2017-11-25 20:00:44,"b'@stew_jordan Hello Stewart! Just to clarify, can you send us a direct message about what type TiVo Roamio were you\xe2\x80\xa6 https://t.co/NF39sWgfnj'",0.1,3,Neutral
934153977205280768,2017-11-24 20:17:18,"b'@drwggm @drwggm We apologize for the trouble. To get this fix, you might want to uninstall the app on your device.\xe2\x80\xa6 https://t.co/UwQ0PIRsZn'",-0.2,2,Negative
934095549929807872,2017-11-24 16:25:08,b'@iXiJSizzleiXi Hello Johnny! There were no announcements yet on when Twitch will be available on our devices. But o\xe2\x80\xa6 https://t.co/1ClkL5EU4T',0.4,4,Positive
933413599409790976,2017-11-22 19:15:18,b'@DClarke977 Hi @DClarke977. We apologize for the experience and for the inconvenience. Do you have a Case Number th\xe2\x80\xa6 https://t.co/h2ssP1jCms',0.0,3,Neutral
933411433773240320,2017-11-22 19:06:42,b'@Safetydog17 3.Restart your device. 4.Access My Account and try to reactivate your TiVo device again. If none of th\xe2\x80\xa6 https://t.co/sRoS4tabMC',0.0,3,Neutral
933063956377325569,2017-11-21 20:05:57,"b""@mattrollo1 We recommend you shouldn't return it. This issue is being worked with the highest priority. Please give\xe2\x80\xa6 https://t.co/AGt2K9ga9Y""",0.0,3,Neutral
933052336095813633,2017-11-21 19:19:46,"b'@mattrollo1 Thank you for the details. But, indeed, many of our customers reported to have experienced this issue a\xe2\x80\xa6 https://t.co/xy9avfyoE3'",0.65,5,Very Positive
